pays,population,evo_pop_%,qt_kcal/h,qt_prot_gr/h,ratio_prot_viande_%,qt_volaille_Kg/h,PIBh_$,tot_poultry_exch_$
Azerbaidjan,9385293.0,3.90631,3118.0,93.15,12.44,10.548418680162676,7875.756952542878,27657.0
Benin,10004451.0,8.75279,2619.0,64.43,14.249999999999998,20.290968489925135,915.3281554082325,49698511.0
Danemark,5637817.0,1.49371,3367.0,108.88,26.69,26.783416347142875,61191.19262604284,0.0
Dominique,72400.0,1.34378,2931.0,76.25,23.0,55.248618784530386,6933.413648455083,15004.0
Republique dominicaine,10281296.0,3.87262,2614.0,58.2,24.88,27.91476872176426,6094.734904210546,26792.0
Belarus,9478902.0,0.06155,3250.0,93.82,31.319999999999997,31.016250616368858,7978.872614710763,2220300.0
Equateur,15661547.0,4.8669,2344.0,61.36,28.73,21.90077391460754,6074.090828958339,0.0
Egypte,89807433.0,6.77683,3522.0,103.24,10.82,13.1837639764183,3213.3891579094234,1037462.0
El Salvador,6250777.0,1.39751,2577.0,71.9,12.950000000000001,20.157494020343393,3515.9472014439166,0.0
Estonie,1321560.0,-0.79138,3253.0,103.9,16.919999999999998,20.430400435848544,19072.238517566937,0.0
Fidji,879715.0,2.29839,2943.0,73.6,18.78,21.597903866593157,4763.0689555777835,0.0
Finlande,5436616.0,1.32011,3368.0,117.72,22.63,20.96892625854024,49638.077129813944,0.0
Georgie,4045910.0,-4.38955,2905.0,80.53,11.14,13.099648781114755,4274.376864839689,125965.0
Gabon,1817271.0,10.79502,2830.0,86.63,30.86,40.72039888382085,9679.75891440111,6851113.999999999
Gambie,1859324.0,9.87945,2628.0,61.55,4.01,2.6891493897782204,735.2358088014362,0.0
Allemagne,81265139.0,0.45782,3499.0,101.59,27.439999999999998,19.307171799706143,46530.91142757761,0.0
Bosnie-Herzegovine,3604999.0,-3.14568,3154.0,91.64,11.83,14.14702195479111,5042.582213046121,67496.0
Ghana,26346251.0,7.48262,3016.0,64.57,9.99,8.502158428536948,2401.75412162092,1015249.0000000001
Kiribati,108535.0,5.73101,3040.0,73.33,15.010000000000002,18.427235454001014,1705.5689096281174,0.0
Grece,11321300.0,-1.08951,3400.0,108.8,23.07,16.34087958096685,21874.819504166666,0.0
Grenade,105909.0,1.17695,2447.0,69.19,29.37,75.53654552493178,7956.076547895942,0.0
Guatemala,15596214.0,6.6013,2419.0,63.73,13.819999999999999,17.504248146377062,3452.8346707689425,50003.0
Guinee,11536615.0,6.8782,2566.0,55.93,7.33,1.9069718457277114,726.0893942403605,0.0
Guyana,758081.0,1.54376,2764.0,79.51,17.77,40.892727821960975,3941.1146611860254,0.0
Haiti,10431776.0,4.32176,2091.0,47.72,12.72,7.573015371495707,810.2656073018844,190.0
Honduras,8657785.0,5.65002,2641.0,64.88,17.76,19.057992315586493,2136.7717179207543,1544.0
Chine - RAS de Hong-Kong,7148571.0,1.75582,3290.0,129.18,38.36,57.074343949301195,38403.7777145477,40973365.00000001
Hongrie,9841697.0,-0.86769,3037.0,78.85,26.700000000000003,26.214991174794346,13667.702786549562,0.0
Croatie,4277806.0,-1.16324,3059.0,84.35,22.73,8.649293586478676,13663.519127523285,383263.00000000006
Islande,327029.0,2.09192,3380.0,133.54,25.759999999999998,27.520495124285613,48023.62691459701,396462.00000000006
Inde,1278562207.0,3.86533,2459.0,60.25,2.19,1.839566340318082,1452.1953732318748,2256853.0
Indonesie,252032263.0,3.92049,2777.0,62.18,7.37,7.431588232812876,3620.6639810952265,393266.0
Iran (Republique islamique d'),77435384.0,3.84601,3094.0,87.28,13.889999999999999,25.298512111724015,6036.192087990409,0.0
Iraq,33883145.0,10.1436,2545.0,63.63,11.19,14.78611268227905,6925.22404568487,0.0
Irlande,4681967.0,1.18954,3600.0,110.02,27.77,27.766107706440476,51773.11136958907,0.0
Israel,7821105.0,5.32114,3610.0,128.14,30.14,66.99820549653789,36291.23211048039,15000.0
Italie,59668000.0,-0.10348,3579.0,108.51,26.340000000000003,19.290071730240665,35370.27525837553,0.0
Cote d'Ivoire,21966312.0,7.67097,2799.0,58.51,10.84,2.2306885197660855,1423.6822822257539,2223377.0
Kazakhstan,17207257.0,4.92885,3264.0,96.41,25.419999999999998,17.666964583605626,13890.631771683453,314009.0
Jamaique,2851807.0,1.22806,2746.0,76.97,24.85,51.1956103621318,4976.84878096438,0.0
Japon,128312920.0,-0.18588,2726.0,87.73,18.529999999999998,19.530379325791976,40454.44745789028,41406821.0
Jordanie,8413464.0,17.14017,3100.0,79.59,20.66,28.763420156073646,3992.8671070526757,12729485.0
Kirghizistan,5683808.0,4.82211,2817.0,85.16,14.000000000000002,10.028487943294355,1282.4371620246661,25654.0
Kenya,44826849.0,8.40794,2206.0,61.84,9.17,0.4684692426184138,1229.1010694938827,296908.0
